Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1,Stanford University,"Private School, Research University, For Sports Fans",77200,154700,0.6,0.49
2,Harvey Mudd College,"Engineering, Liberal Arts School, Private School",82400,153400,0.59,0.85
3 (tie),California Institute of Technology,"Engineering, Private School, Research University",82000,152400,0.58,0.97
3 (tie),Massachusetts Institute of Technology,"Engineering, Private School, Research University",84300,152400,0.57,0.69
5,Princeton University,"Ivy League, Private School, Research University, For Sports Fans",71000,151900,0.51,0.47
6,SUNY Maritime College,State School,72600,151800,0.52,0.35
7,United States Military Academy,"Liberal Arts School, Sober School, For Sports Fans, State School",79000,151000,0.67,0.43
8,Dartmouth College,"Ivy League, Private School, Research University, For Sports Fans",68300,150800,0.48,0.32
9,Babson College,"Business, Private School",67300,149400,0.33,0
10,United States Naval Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School",80600,148400,0.65,0.6
11,Harvard University,"Ivy League, Private School, Research University, For Sports Fans",71200,147500,0.57,0.19
12 (tie),Duke University,"Private School, Religious, Research University, For Sports Fans",67900,143900,0.55,0.26
12 (tie),Webb Institute,"Engineering, Private School",71600,143900,N/A,1
14,Yale University,"Ivy League, Private School, Research University, For Sports Fans",70300,143300,0.56,0.23
15 (tie),University of Pennsylvania,"Ivy League, Private School, Research University, For Sports Fans",70500,143200,0.47,0.22
15 (tie),Williams College,"Liberal Arts School, Private School",63300,143200,0.52,0.33
17,Samuel Merritt University,Private School,81900,141200,N/A,0
18,Georgetown University,"Private School, Religious, Research University, For Sports Fans",63100,140300,0.44,0.12
19,United States Air Force Academy,"Liberal Arts School, Sober School, For Sports Fans, State School",71700,140200,0.7,0.49
20 (tie),Claremont McKenna College,"Liberal Arts School, Private School",65800,139200,0.49,0.14
20 (tie),Stevens Institute of Technology,"Engineering, Private School, Research University",72000,139200,0.49,0.8
22,United States Merchant Marine Academy,"Engineering, State School",74100,139000,0.66,0.54
23,Santa Clara University,"Private School, Religious, For Sports Fans",65000,137800,0.45,0.3
24,Colorado School of Mines,"Engineering, Research University, State School",72500,137600,0.59,0.94
25,University of California-Berkeley,"Research University, For Sports Fans, State School",66600,136900,0.51,0.34
26,Washington and Lee University,"Liberal Arts School, Private School",61300,136700,0.4,0.21
27,Colgate University,"Liberal Arts School, Party School, Private School, For Sports Fans",61900,136100,0.44,0.27
28,Lehigh University,"Engineering, Party School, Private School, Research University, For Sports Fans",66500,135900,0.48,0.52
29,Albany College of Pharmacy and Health Sciences,Private School,66200,135800,0.79,0.02
30,Wabash College,"Liberal Arts School, Private School",61600,135600,0.54,0.27
31,Brown University,"Ivy League, Private School, Research University, For Sports Fans",64600,135400,0.52,0.39
