Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1,Harvey Mudd College,"Engineering, Liberal Arts School, Private School",81000,155800,0.58,0.85
2,Princeton University,"Ivy League, Private School, Research University, For Sports Fans",69800,147800,0.44,0.47
3,Massachusetts Institute of Technology,"Engineering, Private School, Research University",81500,147000,0.53,0.69
4,SUNY Maritime College,State School,71600,145100,0.52,0.35
5,United States Military Academy,"Liberal Arts School, Sober School, For Sports Fans, State School",75100,144300,0.65,0.43
6,United States Naval Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School",75000,143800,0.64,0.6
7,California Institute of Technology,"Engineering, Private School, Research University",78800,142500,0.52,0.97
8,Babson College,"Business, Private School",66600,141700,0.34,0
9,Harvard University,"Ivy League, Private School, Research University, For Sports Fans",69200,140700,0.56,0.19
10,Stanford University,"Private School, Research University, For Sports Fans",73300,140400,0.56,0.49
11,Dartmouth College,"Ivy League, Private School, Research University, For Sports Fans",66300,140300,0.46,0.32
12,Williams College,"Liberal Arts School, Private School",62000,138400,0.44,0.33
13,United States Air Force Academy,"Liberal Arts School, Sober School, For Sports Fans, State School",69400,138300,0.71,0.49
14,Webb Institute,"Engineering, Private School",70800,138200,N/A,1
15,Samuel Merritt University,Private School,81800,138100,N/A,0
16,Colgate University,"Liberal Arts School, Party School, Private School, For Sports Fans",61400,137700,0.37,0.27
17,Stevens Institute of Technology,"Engineering, Private School, Research University",70800,136900,0.5,0.8
18,Colorado School of Mines,"Engineering, Research University, State School",71900,136100,0.6,0.94
19,United States Merchant Marine Academy,"Engineering, State School",73400,135900,0.64,0.54
20,University of Pennsylvania,"Ivy League, Private School, Research University, For Sports Fans",68100,134800,0.43,0.22
21,Santa Clara University,"Private School, Religious, For Sports Fans",63800,134500,0.44,0.3
22,Duke University,"Private School, Religious, Research University, For Sports Fans",65300,134400,0.53,0.26
23,Lehigh University,"Engineering, Party School, Private School, Research University, For Sports Fans",65400,133900,0.46,0.52
24,Albany College of Pharmacy and Health Sciences,Private School,65200,133500,0.81,0.02
25,Yale University,"Ivy League, Private School, Research University, For Sports Fans",66800,132100,0.53,0.23
26,Brown University,"Ivy League, Private School, Research University, For Sports Fans",63000,132000,0.46,0.39
27,Washington and Lee University,"Liberal Arts School, Private School",59700,131700,0.38,0.21
28,Claremont McKenna College,"Liberal Arts School, Private School",63500,130800,0.47,0.14
29,Rice University,"Private School, Research University, For Sports Fans",65700,130200,0.48,0.5
30,University of California-Berkeley,"Research University, For Sports Fans, State School",65400,130100,0.49,0.34
31 (tie),Georgetown University,"Private School, Religious, Research University, For Sports Fans",61400,129500,0.4,0.12
31 (tie),Rensselaer Polytechnic Institute,"Engineering, Private School, Research University",67500,129500,0.48,0.76
33,Worcester Polytechnic Institute,"Engineering, Private School, Research University",69200,129400,0.46,0.87
34,Georgia Institute of Technology-Main Campus,"Engineering, Research University, For Sports Fans, State School",68100,128700,0.47,0.78
35,University of Notre Dame,"Private School, Religious, Research University, For Sports Fans",62500,127900,0.46,0.26
36,California State University Maritime Academy,State School,64600,126800,0.53,0.19
37,Clarkson University,"Engineering, Private School, Research University",64200,126700,0.59,0.52
38,Carnegie Mellon University,"Engineering, Private School, Research University",70900,126400,0.46,0.64
39,Swarthmore College,"Liberal Arts School, Private School",60000,126200,0.44,0.34
40,Rose-Hulman Institute of Technology,"Engineering, Private School",71600,125900,0.51,0.98
41,Bates College,"Liberal Arts School, Private School",55800,125000,0.54,0.26
42,University of California-San Diego,"Engineering, Research University, State School",58600,124900,0.53,0.54
43 (tie),Bucknell University,"Liberal Arts School, Party School, Private School, For Sports Fans",62300,124700,0.39,0.37
43 (tie),Columbia University in the City of New York,"Ivy League, Private School, Research University, For Sports Fans",66000,124700,0.46,0.3
45,Virginia Military Institute,"Liberal Arts School, For Sports Fans, State School",62200,124600,0.66,0.43
46,Wabash College,"Liberal Arts School, Private School",58900,124400,0.46,0.27
47,"Union College - Schenectady, NY","Liberal Arts School, Private School",58500,124300,0.51,0.45
48,Cooper Union for the Advancement of Science and Art,"Engineering, Private School, Sober School",63900,124200,0.49,0.54
49,Cornell University,"Ivy League, Private School, Research University, For Sports Fans",65600,123900,0.45,0.43
50,Lafayette College,"Liberal Arts School, Private School, Religious, For Sports Fans",61500,123800,0.42,0.41
51,Amherst College,"Liberal Arts School, Private School",60200,122800,0.47,0.27
52,Yeshiva University,"Private School, Research University",58900,122300,0.45,0.13
53,Tufts University,"Private School, Research University",60400,120200,0.51,0.24
54 (tie),College of the Holy Cross,"Liberal Arts School, Private School, Religious, For Sports Fans",56000,119700,0.45,0.22
54 (tie),New Jersey Institute of Technology,"Engineering, Research University, For Sports Fans, State School",60800,119700,0.52,0.71
56,Haverford College,"Liberal Arts School, Private School",54700,119500,0.38,0.38
57 (tie),Manhattan College,"Private School, Religious, For Sports Fans",60700,119300,0.45,0.38
57 (tie),University of Southern California,"Private School, Research University, For Sports Fans",59400,119300,0.47,0.24
59,MCPHS University,Private School,61700,119200,0.69,0.02
60 (tie),University of California-Irvine,"Research University, For Sports Fans, State School",54900,118800,0.48,0.32
60 (tie),University of California-Santa Barbara,"Party School, Research University, For Sports Fans, State School",54900,118800,0.47,0.28
62 (tie),University of Virginia-Main Campus,"Research University, For Sports Fans, State School",59500,118400,0.48,0.21
62 (tie),Wake Forest University,"Party School, Private School, Research University, For Sports Fans",56000,118400,0.48,0.14
64,Massachusetts Maritime Academy,State School,63100,118300,0.55,0.43
65,The King's University,"Private School, Religious",56900,118200,N/A,0
66,Maine Maritime Academy,"Engineering, State School",63300,117900,0.65,0.51
67,Wesleyan University,"Liberal Arts School, Private School",55900,117700,0.59,0.22
68,Fairfield University,"Private School, Religious, For Sports Fans",57100,117500,0.43,0.21
69,University of the Sciences,Private School,54000,117200,0.71,0.09
70 (tie),Kettering University,"Engineering, Private School",66000,117000,0.45,0.76
70 (tie),New York University,"Private School, Research University",58700,117000,0.42,0.17
70 (tie),University of Chicago,"Private School, Research University",58100,117000,0.44,0.2
73,United States Coast Guard Academy,"Sober School, State School",61000,116700,0.66,N/A
74,Hobart William Smith Colleges,"Liberal Arts School, Private School",52400,116400,0.5,0.15
75,New Mexico Institute of Mining and Technology,"Engineering, State School",60400,116200,0.58,0.88
76,Vanderbilt University,"Private School, Research University, For Sports Fans",61100,116000,0.48,0.22
